"Scientific.Name","preGH","Last","Stem","Size","Leaf","GH"
"Conostegia xalapensis","S.B","B","S","2","BE","S2BE"
"Copaifera aromatica","T.BE","BE","T","1","BD","T1BD"
"Cordia dodecandra","T.B","B","T","1","BE","T1BE"
"Cordia dodecandra","T.B","B","T","1","BE","T1BE"
"Cordia elliptica","T.B","B","T","1","BE","T1BE"
"Cordia sonorae","T.B","B","T","1","BE","T1BE"
"Cordia troyana","T.B","B","T","1","BE","T1BE"
"Leptosyne maritima","S1BE","BE","S","1","ME","S1ME"
"Leptosyne maritima","S1BE","BE","S","1","ME","S1ME"
"Cornus peruviana","S.B","B","S","2","BD","S2BD"
"Coussapoa parviceps","T.B","B","T","1","BE","T1BE"
"Coussapoa parvifolia","T.B","B","T","1","BE","T1BE"
"Coussarea paniculata","T.B","B","T","1","BE","T1BE"
"Coutaportla ghiesbreghtiana","S.B","B","S","2","BE","S2BE"
"Crataegus coccinea","S.B","B","S","2","BD","S2BD"
"Crataegus mexicana","T.B","B","T","1","BD","T1BD"
"Crataegus mexicana","T.B","B","T","1","BD","T1BD"
"Crotalaria nitens","S.B","B","S","2","BD","S2BD"
"Croton glabellus","S.B","B","S","2","BD","S2BD"
"Croton linearis","S2BE","BE","S","2","BD","S2BD"
"Croton matourensis","T.B","B","T","1","BE","T1BE"
"Croton pseudoniveus","T.B","B","T","1","BE","T1BE"
"Croton smithianus","S.BE","BE","S","2","BD","S2BD"
"Crudia glaberrima","T.B","B","T","1","BE","T1BE"
"Cupania hirsuta","T.B","B","T","1","BE","T1BE"
"Cuscuta chinensis","H.i","i","H","2","Fi","H2Fi"
"Cynometra bauhiniifolia","T.BE","BE","T","1","BD","T1BD"
"Cyperus odoratus","H2GW","GW","H","2","GC","H2GC"
"Cyperus lupulinus var. lupulinus","H2GW","GW","H","2","GC","H2GC"
"Cyperus laxus","H.G","G","H","2","GC","H2GC"
"Cyperus odoratus","H2GW","GW","H","2","GC","H2GC"
"Cyperus obtusatus","H2GW","GW","H","2","GC","H2GC"
"Remirea maritima","H2GW","GW","H","2","GC","H2GC"
"Remirea maritima","H2GW","GW","H","2","GC","H2GC"
"Cyperus subumbellatus","H.G","G","H","2","GC","H2GC"
"Cyrtocarpa procera","T.B","B","T","1","BE","T1BE"
"Dalbergia frutescens","T.B","B","T","1","BE","T1BE"
"Dalbergia retusa","T.BD","BD","T","1","BE","T1BE"
"Danaea wendlandii","H.FE","FE","H","2","F","H2F"
"Daphnopsis occidentalis","T.B","B","T","1","BE","T1BE"
"Davilla kunthii","L.B","B","L",".","BE","L.BE"
"Davilla kunthii","L.B","B","L",".","BE","L.BE"
"Davilla nitida","L.B","B","L",".","BE","L.BE"
"Declieuxia fruticosa","S.B","B","S","2","BE","S2BE"
"Declieuxia fruticosa","S.B","B","S","2","BE","S2BE"
"Dendrophthora ambigua","S.B","B","S","1","Bi","S1Bi"
"Dichapetalum axillare","T.BD","BD","T","1","BE","T1BE"
"Dilodendron elegans","T.B","B","T","1","BD","T1BD"
"Dioclea guianensis","L.B","B","L",".","BE","L.BE"
"Diospyros artanthifolia","T.BE","BE","T","1","BD","T1BD"
"Diospyros bumelioides","T.BD","BD","T","1","BE","T1BE"
"Diospyros tetrasperma","T.BE","BE","T","1","BD","T1BD"
"Diospyros digyna","T.BE","BE","T","1","BD","T1BD"
"Diospyros inconstans","T.BE","BE","T","1","BD","T1BD"
"Diplazium macrophyllum","H.FE","FE","H","2","F","H2F"
"Dipteryx oleifera","T.B","B","T","1","BE","T1BE"
"Ditaxis polygama","S2BD","BD","S","2","BE","S2BE"
"Dodonaea angustifolia","S.B","B","S","1","BE","S1BE"
"Doliocarpus dentatus","L.B","B","L",".","BE","L.BE"
"Doliocarpus multiflorus","L.B","B","L",".","BE","L.BE"
"Dussia mexicana","T.BE","BE","T","1","BD","T1BD"
"Ecclinusa lanceolata","T.B","B","T","1","BE","T1BE"
"Ehretia latifolia","S.B","B","S","2","BE","S2BE"
"Ehretia latifolia","S.B","B","S","2","BE","S2BE"
"Ekmanianthe actinophylla","T.B","B","T","1","BE","T1BE"
"Elaeagia auriculata","S.B","B","S","2","BE","S2BE"
"Elaphoglossum gayanum","H.FE","FE","H","2","F","H2F"
"Eleocharis minima","H1GW","GW","H","2","GC","H2GC"
"Elymus cordilleranus","H.G","G","H","2","GC","H2GC"
"Erythrina costaricensis","T.BE","BE","T","1","BD","T1BD"
"Erythroxylum amazonicum","T.B","B","T","1","BE","T1BE"
"Erythroxylum mexicanum","S.B","B","S","2","BE","S2BE"
"Euphorbia fulgens","S.B","B","S","2","BD","S2BD"
"Euphorbia schlechtendalii","S.B","B","S","2","BE","S2BE"
"Euphorbia tithymaloides","S.B","B","S","2","BE","S2BE"
"Euphrasia ostenfeldii","H.F","F","H","1","Fi","H1Fi"
"Exostema mexicanum","T.B","B","T","1","BE","T1BE"
"Eysenhardtia polystachya","S.B","B","S","2","BD","S2BD"
"Faramea glandulosa","T.B","B","T","1","BE","T1BE"
"Faramea glandulosa","T.B","B","T","1","BE","T1BE"
"Ferdinandusa panamensis","T.B","B","T","1","BE","T1BE"
"Ficus colubrinae","T.B","B","T","1","BE","T1BE"
"Ficus donnell-smithii","T.B","B","T","1","BE","T1BE"
"Ficus nymphaeifolia","T.B","B","T","1","BE","T1BE"
"Ficus paraensis","T.B","B","T","1","BE","T1BE"
"Ficus pertusa","T.B","B","T","1","BE","T1BE"
"Ficus pertusa","T.B","B","T","1","BE","T1BE"
"Forsteronia acouci","L.B","B","L",".","BE","L.BE"
"Forsteronia acouci","L.B","B","L",".","BE","L.BE"
"Fouquieria formosa","S.B","B","S","2","BD","S2BD"
"Galactia jussiaeana","S.B","B","S","1","BE","S1BE"
"Garcia nutans","T.B","B","T","1","BE","T1BE"
"Garcia nutans","T.B","B","T","1","BE","T1BE"
"Gesneria alpina","T.B","B","T","1","BE","T1BE"
"Gesneria calycina","S.B","B","S","1","BE","S1BE"
"Gloeospermum sphaerocarpum","T.B","B","T","1","BE","T1BE"
"Nahuatlea purpusii","S.B","B","S","2","BE","S2BE"
"Guettarda crispiflora","T.B","B","T","1","BE","T1BE"
"Gyrocarpus americanus","T.BD","BD","T","1","BE","T1BE"
"Gyrotaenia microcarpa","T.B","B","T","1","BE","T1BE"
"Gyrotaenia spicata","T.B","B","T","1","BE","T1BE"
"Hamelia rostrata","S.B","B","S","2","BE","S2BE"
"Hamelia rostrata","S.B","B","S","2","BE","S2BE"
"Heisteria acuminata","T.BE","BE","T","1","Bi","T1Bi"
"Heisteria concinna","T.BE","BE","T","1","Bi","T1Bi"
"Heisteria scandens","L.B","B","L",".","BE","L.BE"
"Heliocarpus pallidus","T.BD","BD","T","1","BE","T1BE"
"Heliocarpus tomentosus","T.B","B","T","1","BE","T1BE"
"Hernandia catalpifolia","T.B","B","T","1","BE","T1BE"
"Heteropterys panamensis","L.B","B","L",".","BE","L.BE"
"Hieronyma clusioides","T.B","B","T","1","BE","T1BE"
"Hiraea faginea","L.B","B","L",".","BE","L.BE"
"Hiraea grandifolia","L.B","B","L",".","BE","L.BE"
"Hiraea reclinata","L.B","B","L",".","BE","L.BE"
"Hirtella davisii","T.B","B","T","1","BE","T1BE"
"Hirtella paniculata","T.B","B","T","1","BE","T1BE"
"Hirtella tubiflora","S.B","B","S","2","BE","S2BE"
"Hura polyandra","T.B","B","T","1","BE","T1BE"
"Hydrangea peruviana","L.B","B","L",".","BE","L.BE"
"Hylenaea praecelsa","L.B","B","L",".","BE","L.BE"
"Hyperbaena prioriana","T.B","B","T","1","BE","T1BE"
"Ilex harrisii","T.B","B","T","1","BE","T1BE"
"Inga acreana","T.BE","BE","T","1","BD","T1BD"
"Inga acuminata","T.BE","BE","T","1","BD","T1BD"
"Inga aestuariorum","T.BE","BE","T","1","BD","T1BD"
"Inga barbourii","T.BD","BD","T","1","BE","T1BE"
"Inga calderonii","T.BD","BD","T","1","BE","T1BE"
"Inga capitata","T.BE","BE","T","1","BD","T1BD"
"Inga ciliata","T.B","B","T","1","BD","T1BD"
"Inga cocleensis","T.BE","BE","T","1","BD","T1BD"
"Inga coruscans","T.BE","BE","T","1","BD","T1BD"
"Inga cylindrica","T.BE","BE","T","1","BD","T1BD"
"Inga glomeriflora","T.B","B","T","1","BD","T1BD"
"Inga goldmanii","T.BE","BE","T","1","BD","T1BD"
"Inga hayesii","T.B","B","T","1","BD","T1BD"
"Inga heterophylla","T.BE","BE","T","1","BD","T1BD"
"Inga jinicuil","T.BE","BE","T","1","BD","T1BD"
"Inga laevigata","T.BE","BE","T","1","BD","T1BD"
"Inga mortoniana","T.BE","BE","T","1","BD","T1BD"
"Inga mucuna","T.BE","BE","T","1","BD","T1BD"
"Inga oerstediana","T.B","B","T","2","BE","T2BE"
"Inga oerstediana","T.B","B","T","2","BE","T2BE"
"Inga pauciflora","T.B","B","T","1","BD","T1BD"
"Inga pavoniana","T.BE","BE","T","1","BD","T1BD"
"Inga pezizifera","T.BE","BE","T","1","BD","T1BD"
"Inga pinetorum","T.BD","BD","T","2","BE","T2BE"
"Inga nobilis ssp. quaternata","T1BE","BE","T","1","BD","T1BD"
"Inga rubiginosa","T.BE","BE","T","1","BD","T1BD"
"Inga ruiziana","T.BE","BE","T","1","BD","T1BD"
"Inga spectabilis","T.BE","BE","T","1","BD","T1BD"
"Inga tonduzii","T.BE","BE","T","1","BD","T1BD"
"Inga umbellifera","T.BE","BE","T","1","BD","T1BD"
"Ipomoea arborescens","T.B","B","T","1","BE","T1BE"
"Ipomoea arborescens","T.B","B","T","1","BE","T1BE"
"Ipomoea intrapilosa","S.B","B","S","2","BE","S2BE"
"Ipomoea lobata","L.B","B","L",".","BE","L.BE"
"Aniseia luxurians","L.B","B","L",".","BE","L.BE"
"Isertia haenkeana","T.B","B","T","1","BE","T1BE"
"Jacaranda copaia","T.BE","BE","T","1","BD","T1BD"
"Jatropha cordata","T.B","B","T","1","BE","T1BE"
"Jatropha cordata","T.B","B","T","1","BE","T1BE"
"Jatropha divaricata","T.B","B","T","1","BE","T1BE"
"Juglans pyriformis","T.BE","BE","T","1","BD","T1BD"
"Juglans pyriformis","T.BE","BE","T","1","BD","T1BD"
"Justicia graciliflora","L.B","B","L",".","BE","L.BE"
"Karwinskia calderonii","S.B","B","S","1","BD","S1BD"
"Krameria cytisoides","S.B","B","S","1","BD","S1BD"
"Lachemilla verticillata","S.B","B","S","2","BD","S2BD"
"Laxoplumeria tessmannii","T.B","B","T","1","BE","T1BE"
"Leandra longicoma","S.B","B","S","2","BE","S2BE"
"Leretia cordata","L.B","B","L",".","BE","L.BE"
"Lisianthius latifolius","S.B","B","S","2","BE","S2BE"
"Lonchocarpus cruentus","T.BE","BE","T","2","BD","T2BD"
"Ludwigia grandiflora ssp. hexapetala","H2A","A","H","2","F","H2F"
"Ludwigia nervosa","S.B","B","S","1","BE","S1BE"
"Ludwigia nervosa","S.B","B","S","1","BE","S1BE"
"Machaerium isadelphum","S.B","B","S","2","BD","S2BD"
"Machaerium isadelphum","S.B","B","S","2","BD","S2BD"
"Machaerium kegelii","L.B","B","L",".","BE","L.BE"
"Machaerium milleflorum","L.B","B","L",".","BE","L.BE"
"Machaonia hahniana","S.B","B","S","2","BE","S2BE"
"Maclura brasiliensis","T.B","B","T","1","BE","T1BE"
"Manihot brachyloba","S.B","B","S","2","BE","S2BE"
"Manihot rubricaulis","T.B","B","T","1","BE","T1BE"
"Manihot rubricaulis","T.B","B","T","1","BE","T1BE"
"Mansoa hymenaea","L.B","B","L",".","BE","L.BE"
"Mansoa hymenaea","L.B","B","L",".","BE","L.BE"
"Marcgravia nepenthoides","L.B","B","L",".","BE","L.BE"
"Matisia ochrocalyx","T.B","B","T","1","BE","T1BE"
"Mayna odorata","T.B","B","T","1","BE","T1BE"
"Mendoncia costaricana","H.FV","FV","H","2","F","H2F"
"Mendoncia tonduzii","H.FV","FV","H","2","F","H2F"
"Miconia centrodesma","T.B","B","T","1","BE","T1BE"
"Miconia chrysophylla","S.B","B","S","2","BE","S2BE"
"Miconia chrysophylla","S.B","B","S","2","BE","S2BE"
"Miconia dorsiloba","T.B","B","T","1","BE","T1BE"
"Micropholis melinoniana","T.B","B","T","1","BE","T1BE"
"Mikania parviflora","S.B","B","S","1","BE","S1BE"
"Mimosa tenuiflora","S.BE","BE","S","2","BD","S2BD"
"Morella pubescens","S.B","B","S","2","BE","S2BE"
"Mosquitoxylum jamaicense","T.B","B","T","1","BE","T1BE"
"Morella caroliniensis","S2BE","BE","S","2","BD","S2BD"
"Myroxylon balsamum","T.B","B","T","1","BD","T1BD"
"Nolina durangensis","S.B","B","S","1","P","S1P"
"Nolina matapensis","S.B","B","S","1","P","S1P"
"Ocotea insularis","T.B","B","T","1","BE","T1BE"
"Odontadenia semidigyna","L.B","B","L",".","BE","L.BE"
"Odontadenia semidigyna","L.B","B","L",".","BE","L.BE"
"Odontadenia puncticulosa","L.B","B","L",".","BE","L.BE"
"Omphalea diandra","L.B","B","L",".","BE","L.BE"
"Omphalea triandra","S.B","B","S","2","BE","S2BE"
"Ormosia intermedia","T.BD","BD","T","1","BE","T1BE"
"Ottoschulzia domingensis","L.B","B","L",".","BE","L.BE"
"Pachira quinata","T.BE","BE","T","1","BD","T1BD"
"Pachyptera kerere","L.B","B","L",".","BE","L.BE"
"Paullinia alata","L.B","B","L",".","BE","L.BE"
"Paullinia bracteosa","L.B","B","L",".","BE","L.BE"
"Paullinia obovata","L.B","B","L",".","BE","L.BE"
"Paullinia pterocarpa","L.B","B","L",".","BE","L.BE"
"Paullinia rugosa","L.B","B","L",".","BE","L.BE"
"Paullinia turbacensis","L.B","B","L",".","BE","L.BE"
"Pausandra trianae","T.B","B","T","1","BE","T1BE"
"Paypayrola grandiflora","T.B","B","T","1","BE","T1BE"
"Paypayrola longifolia","T.B","B","T","1","BE","T1BE"
"Peltogyne purpurea","T.B","B","T","1","BE","T1BE"
"Penstemon gentianoides","S.B","B","S","1","BE","S1BE"
"Penstemon hartwegii","S.B","B","S","1","BD","S1BD"
"Pentagonia parvifolia","T.B","B","T","1","BE","T1BE"
"Perebea angustifolia","T.BD","BD","T","1","BE","T1BE"
"Pereskia marcanoi","T.U","U","T","1","BD","T1BD"
"Pereskia portulacifolia","T.U","U","T","1","BD","T1BD"
"Peritassa laevigata","L.B","B","L",".","BE","L.BE"
"Philodendron pterotum","H.F","F","H","2","FV","H2FV"
"Phoradendron carneum","S.B","B","S","2","BD","S2BD"
"Phyllanthus brasiliensis","T.B","B","T","1","BD","T1BD"
"Phyllanthus cuneifolius","S2BE","BE","S","2","BD","S2BD"
"Pinochia corymbosa","L.B","B","L",".","BE","L.BE"
"Piper carrilloanum","S.B","B","S","2","BE","S2BE"
"Piper darienense","S.B","B","S","2","BE","S2BE"
"Piper multiplinervium","L.B","B","L",".","BE","L.BE"
"Piper pseudofuligineum","S.B","B","S","2","BE","S2BE"
"Piper pseudofuligineum","S.B","B","S","2","BE","S2BE"
"Piper schiedeanum","S.B","B","S","2","BE","S2BE"
"Piper tuberculatum","S.B","B","S","2","BE","S2BE"
"Piper urostachyum","S.B","B","S","2","BE","S2BE"
"Piptocoma discolor","T.B","B","T","1","BE","T1BE"
"Pittoniotis trichantha","T.B","B","T","1","BE","T1BE"
"Platymiscium pinnatum","T.BD","BD","T","2","BE","T2BE"
"Pleradenophora tuerckheimiana","T.B","B","T","1","BE","T1BE"
"Pleradenophora tuerckheimiana","T.B","B","T","1","BE","T1BE"
"Podachaenium eminens","T.B","B","T","1","BE","T1BE"
"Podachaenium eminens","T.B","B","T","1","BE","T1BE"
"Pourouma melinonii","T.B","B","T","1","BE","T1BE"
"Pradosia atroviolacea","T.B","B","T","1","BE","T1BE"
"Protium confusum","T.B","B","T","1","BE","T1BE"
"Prunus lundelliana","T.BE","BE","T","1","BD","T1BD"
"Prunus ilicifolia ssp. lyonii","T1BE","BE","T","1","BD","T1BD"
"Pseudima frutescens","T.B","B","T","1","BE","T1BE"
"Pseudobombax ellipticum","T.B","B","T","1","BE","T1BE"
"Pseudolmedia rigida","T.BD","BD","T","1","BE","T1BE"
"Pseudopiptadenia suaveolens","T.B","B","T","1","BE","T1BE"
"Pterocarpus hayesii","T.B","B","T","1","BE","T1BE"
"Pterocarpus violaceus","T.BD","BD","T","1","BE","T1BE"
"Pterostemon rotundifolius","S.B","B","S","2","BD","S2BD"
"Quararibea parvifolia","T.BD","BD","T","1","BE","T1BE"
"Quercus benthamii","T.BE","BE","T","1","BD","T1BD"
"Quercus benthamii","T.BE","BE","T","1","BD","T1BD"
"Quercus corrugata","T.BE","BE","T","1","BD","T1BD"
"Quercus cortesii","T.BE","BE","T","1","BD","T1BD"
"Quercus lancifolia","T.BE","BE","T","1","BD","T1BD"
"Quercus corrugata","T.BE","BE","T","1","BD","T1BD"
"Quercus purulhana","T.BE","BE","T","1","BD","T1BD"
"Quercus skinneri","T.BE","BE","T","1","BD","T1BD"
"Brunnichia ovata","L.BD","BD","L",".","BE","L.BE"
"Endotropis crocea ssp. pilosa","T1BE","BE","T","1","BD","T1BD"
"Rhynchosia nelsonii","H.F","F","H","2","FV","H2FV"
"Rhynchospora exaltata","H.G","G","H","2","GC","H2GC"
"Rinorea paniculata","T.B","B","T","1","BE","T1BE"
"Rinorea squamata","T.B","B","T","1","BE","T1BE"
"Rinorea viridifolia","T.B","B","T","1","BE","T1BE"
"Roucheria columbiana","T.B","B","T","1","BE","T1BE"
"Ruagea insignis","T.B","B","T","1","BE","T1BE"
"Rubus pringlei","S.B","B","S","1","BD","S1BD"
"Sabicea panamensis","L.BD","BD","L",".","BE","L.BE"
"Salacia elliptica","T.B","B","T","1","BE","T1BE"
"Salacia impressifolia","L.B","B","L",".","BE","L.BE"
"Salacia impressifolia","L.B","B","L",".","BE","L.BE"
"Salix exilifolia","T.B","B","T","1","BD","T1BD"
"Salix taxifolia","T.B","B","T","1","BD","T1BD"
"Sapium macrocarpum","T.B","B","T","1","BE","T1BE"
"Sapium macrocarpum","T.B","B","T","1","BE","T1BE"
"Sapium pachystachys","T.B","B","T","1","BE","T1BE"
"Sarcaulus brasiliensis","T.B","B","T","1","BE","T1BE"
"Schizaea dichotoma","H.FE","FE","H","2","F","H2F"
"Serjania atrolineata","L.B","B","L",".","BD","L.BD"
"Serjania atrolineata","L.B","B","L",".","BD","L.BD"
"Serjania circumvallata","L.B","B","L",".","BD","L.BD"
"Serjania mexicana","L.B","B","L",".","BD","L.BD"
"Serjania trachygona","L.B","B","L",".","BE","L.BE"
"Sloanea brachytepala","T.B","B","T","2","BE","T2BE"
"Sloanea jamaicensis","T.B","B","T","2","BE","T2BE"
"Smilax mollis","L.B","B","L",".","BE","L.BE"
"Smilax panamensis","L.B","B","L",".","BE","L.BE"
"Smilax spinosa","L.B","B","L",".","BE","L.BE"
"Smilax spissa","L.B","B","L",".","BE","L.BE"
"Smilax hispida","L.BD","BD","L",".","BE","L.BE"
"Solanum arboreum","S.BE","BE","S","1","BD","S1BD"
"Solanum splendens","T.BE","BE","T","1","BD","T1BD"
"Solanum hayesii","T.BE","BE","T","1","BD","T1BD"
"Solanum schlechtendalianum","T.BE","BE","T","1","BD","T1BD"
"Solanum steyermarkii","S.B","B","S","1","BD","S1BD"
"Souroubea sympetala","L.B","B","L",".","BE","L.BE"
"Spachea elegans","T.B","B","T","1","BE","T1BE"
"Stachytarpheta acuminata","S.B","B","S","2","BE","S2BE"
"Stachytarpheta acuminata","S.B","B","S","2","BE","S2BE"
"Stachytarpheta jamaicensis","S.B","B","S","2","BE","S2BE"
"Sterculia costaricana","T.BD","BD","T","1","BE","T1BE"
"Sterculia recordiana","T.BD","BD","T","1","BE","T1BE"
"Strychnos toxifera","T.B","B","T","1","BE","T1BE"
"Stylogyne turbacensis","S.B","B","S","2","BE","S2BE"
"Swartzia myrtifolia","T.B","B","T","1","BE","T1BE"
"Talisia hexaphylla","T.B","B","T","1","BE","T1BE"
"Terminalia buceras","T.B","B","T","2","BE","T2BE"
"Terminalia buceras","T.B","B","T","2","BE","T2BE"
"Terminalia latifolia","S.B","B","S","2","BE","S2BE"
"Terminalia lucida","T.B","B","T","2","BD","T2BD"
"Terminalia molinetii","T.B","B","T","1","BD","T1BD"
"Tetracera hydrophila","L.B","B","L",".","BE","L.BE"
"Tetracera portobellensis","L.B","B","L",".","BE","L.BE"
"Tetracera willdenowiana","L.B","B","L",".","BE","L.BE"
"Tetrathylacium macrophyllum","T.B","B","T","1","BE","T1BE"
"Thelypteris lingulata","H.FE","FE","H","2","F","H2F"
"Christella quadrangularis","H.FE","FE","H","2","F","H2F"
"Thinouia myriantha","T.B","B","T","1","BE","T1BE"
"Tithonia calva","S.B","B","S","1","BE","S1BE"
"Tithonia calva","S.B","B","S","1","BE","S1BE"
"Trichilia americana","S.B","B","S","1","BE","S1BE"
"Trichilia americana","S.B","B","S","1","BE","S1BE"
"Trichilia havanensis","S.B","B","S","1","BE","S1BE"
"Trichilia pleeana","S.B","B","S","1","BE","S1BE"
"Trichilia pleeana","S.B","B","S","1","BE","S1BE"
"Trichomanes vittaria","H.FE","FE","H","2","F","H2F"
"Triumfetta brevipes","S.B","B","S","1","BE","S1BE"
"Triumfetta brevipes","S.B","B","S","1","BE","S1BE"
"Triumfetta polyandra","S.B","B","S","1","BE","S1BE"
"Ulmus mexicana","T.B","B","T","1","BD","T1BD"
"Uncaria tomentosa","L.B","B","L",".","BE","L.BE"
"Utricularia benjaminiana","H.F","F","H","2","A","H2A"
"Vaccinium consanguineum","S.BE","BE","S","2","BD","S2BD"
"Vaccinium floribundum","S.BE","BE","S","2","BD","S2BD"
"Vachellia acuifera","T.B","B","T","1","BD","T1BD"
"Vachellia mayana","T.BE","BE","T","1","BD","T1BD"
"Valeriana candolleana","H.FV","FV","H","2","F","H2F"
"Vauquelinia australis","S.B","B","S","1","BD","S1BD"
"Verbesina myriocephala","T.B","B","T","1","BE","T1BE"
"Verbesina myriocephala","T.B","B","T","1","BE","T1BE"
"Verbesina serrata","S.B","B","S","1","BE","S1BE"
"Vitex cymosa","T.BD","BD","T","1","BE","T1BE"
"Weinmannia wercklei","S.B","B","S","2","BE","S2BE"
"Wittmackanthus stanleyanus","T.B","B","T","1","BE","T1BE"
"Xylosma oligandra","S.B","B","S","1","BE","S1BE"
"Xylosma oligandra","S.B","B","S","1","BE","S1BE"
"Zanthoxylum riedelianum","T.B","B","T","1","BE","T1BE"
"Zanthoxylum setulosum","T.BD","BD","T","1","BE","T1BE"
"Ziziphus cinnamomum","T.BD","BD","T","1","BE","T1BE"
"Zygia latifolia","T.B","B","T","1","BE","T1BE"
"Zygia longifolia","T.B","B","T","1","BE","T1BE"
